cellnumber     x-coordinate     y-coordinate           y-plus skin-friction-coef       wall-shear     y-wall-shear     x-wall-shear pressure-coefficient         pressure 
        37  8.580170870E-01 -1.965513229E-01  2.816881177E-01  3.473294416E-03  2.459797960E+01 -7.687462488E+00  2.336586229E+01  5.748419964E-03  4.071048982E+01 
        38  8.652516007E-01 -1.989343911E-01  2.827529025E-01  3.499505117E-03  2.478360460E+01 -7.762634845E+00  2.353653665E+01 -1.147941959E-03 -8.129760823E+00 
        39  8.722580075E-01 -2.012478411E-01  2.838293150E-01  3.526099008E-03  2.497194336E+01 -7.838137557E+00  2.370994633E+01 -7.722022932E-03 -5.468760772E+01 
        40  8.790318966E-01 -2.034896463E-01  2.847928697E-01  3.550090736E-03  2.514185353E+01 -7.907310023E+00  2.386602705E+01 -1.390702535E-02 -9.848998813E+01 
        41  8.855691552E-01 -2.056578249E-01  2.855971436E-01  3.570235737E-03  2.528452106E+01 -7.967326540E+00  2.399643126E+01 -1.961850942E-02 -1.389388968E+02 
        42  8.918657303E-01 -2.077504694E-01  2.863314695E-01  3.588563960E-03  2.541432211E+01 -8.022668759E+00  2.411482022E+01 -2.478212503E-02 -1.755077839E+02 
        43  8.979176879E-01 -2.097657323E-01  2.869173147E-01  3.603265004E-03  2.551843536E+01 -8.069256949E+00  2.420904037E+01 -2.931697811E-02 -2.076237551E+02 
        44  9.037212729E-01 -2.117018551E-01  2.873561235E-01  3.614530748E-03  2.559821971E+01 -8.107480363E+00  2.428039569E+01 -3.311455591E-02 -2.345183198E+02 
        45  9.092728496E-01 -2.135571092E-01  2.876044909E-01  3.620778934E-03  2.564246956E+01 -8.133750482E+00  2.431827190E+01 -3.607641656E-02 -2.554943095E+02 
        46  9.145690203E-01 -2.153298706E-01  2.875713464E-01  3.619821792E-03  2.563569105E+01 -8.143105397E+00  2.430799231E+01 -3.808120562E-02 -2.696922882E+02 
        47  9.196063876E-01 -2.170185894E-01  2.872776077E-01  3.612543610E-03  2.558414674E+01 -8.137482177E+00  2.425551377E+01 -3.898059515E-02 -2.760617930E+02 
        48  9.243817925E-01 -2.186217606E-01  2.866929937E-01  3.597789913E-03  2.547966060E+01 -8.114239836E+00  2.415309951E+01 -3.859314389E-02 -2.733178511E+02 
        49  9.288922548E-01 -2.201379836E-01  2.856147564E-01  3.570654904E-03  2.528748961E+01 -8.062263955E+00  2.396783325E+01 -3.674779582E-02 -2.602490384E+02 
        50  9.331349134E-01 -2.215659469E-01  2.840873311E-01  3.532559795E-03  2.501769886E+01 -7.984702606E+00  2.370927626E+01 -3.323150549E-02 -2.353465604E+02 
        51  9.371071458E-01 -2.229043841E-01  2.819500236E-01  3.479656225E-03  2.464303412E+01 -7.872807606E+00  2.335161731E+01 -2.783850339E-02 -1.971531510E+02 
        52  9.408063293E-01 -2.241521329E-01  2.790779192E-01  3.409118037E-03  2.414348047E+01 -7.720124786E+00  2.287591140E+01 -2.033478846E-02 -1.440116074E+02 
        53  9.442300797E-01 -2.253081053E-01  2.753385363E-01  3.318418659E-03  2.350114465E+01 -7.520875188E+00  2.226522482E+01 -1.048715191E-02 -7.427033756E+01 
        54  9.473763704E-01 -2.263712883E-01  2.705263032E-01  3.203483393E-03  2.268716950E+01 -7.265765175E+00  2.149223851E+01  1.957673616E-03  1.386430572E+01 
        55  9.502431154E-01 -2.273407578E-01  2.644144871E-01  3.060414075E-03  2.167394811E+01 -6.945900484E+00  2.053081814E+01  1.715890198E-02  1.215198800E+02 
        56  9.528284073E-01 -2.282156944E-01  2.567445263E-01  2.885480652E-03  2.043506415E+01 -6.552762176E+00  1.935595915E+01  3.536479137E-02  2.504545577E+02 
        57  9.551306963E-01 -2.289953083E-01  2.470333943E-01  2.671321097E-03  1.891837949E+01 -6.069593139E+00  1.791829014E+01  5.636665421E-02  3.991904066E+02 
        58  9.571484327E-01 -2.296789587E-01  2.353292302E-01  2.424221960E-03  1.716841568E+01 -5.510653758E+00  1.625998746E+01  8.041105151E-02  5.694735796E+02 
        59  9.588803649E-01 -2.302660346E-01  2.209032738E-01  2.136001599E-03  1.512723008E+01 -4.857357299E+00  1.432617080E+01  1.055773909E-01  7.477023817E+02 
        60  9.603253007E-01 -2.307560295E-01  2.064558086E-01  1.865699149E-03  1.321293968E+01 -4.244036788E+00  1.251279052E+01  1.325076659E-01  9.384234309E+02 
        61  9.614824057E-01 -2.311485559E-01  1.931885371E-01  1.633649536E-03  1.156955707E+01 -3.717124638E+00  1.095616882E+01  1.539174708E-01  1.090048338E+03 
        62  9.623509049E-01 -2.314432263E-01  1.906934726E-01  1.591675574E-03  1.127229615E+01 -3.622306913E+00  1.067443456E+01  1.699938429E-01  1.203901708E+03 
        63  9.629302025E-01 -2.316398174E-01  2.510598027E-01  2.758960517E-03  1.953904460E+01 -6.279591902E+00  1.850245901E+01  1.765318920E-01  1.250204376E+03 
        64  9.632199407E-01 -2.317381501E-01  1.002978983E-01  4.403595311E-04  3.118639960E+00 -1.002352404E+00  2.953168613E+00  1.460721169E-01  1.034487297E+03 
        65  1.220650785E-02  7.634536922E-02  8.383916148E-01  3.098090889E-02  2.194077649E+02  2.192933545E+02  7.084629955E+00 -4.157661835E+00 -2.944469104E+04 
        66  1.230098773E-02  7.451931387E-02  7.787076196E-01  2.671393693E-02  1.891889361E+02  1.874875213E+02 -2.531566543E+01 -3.034526802E+00 -2.149061364E+04 
        67  1.270135120E-02  7.267683744E-02  6.976552502E-01  2.142040175E-02  1.516999546E+02  1.453483935E+02 -4.343639884E+01 -1.995824987E+00 -1.413449493E+04 
        68  1.340644807E-02  7.081824541E-02  6.116962224E-01  1.644741010E-02  1.164810723E+02  1.058536041E+02 -4.860920394E+01 -1.074014617E+00 -7.606205080E+03 
        69  1.441493258E-02  6.894382834E-02  5.229478820E-01  1.200796197E-02  8.504076193E+01  7.239986359E+01 -4.461155615E+01 -3.809678006E-01 -2.698025869E+03 
        70  1.572526433E-02  6.705383956E-02  4.411058719E-01  8.536155110E-03  6.045331724E+01  4.790364160E+01 -3.687607201E+01  1.224310772E-01  8.670607150E+02 
        71  1.733571105E-02  6.514853239E-02  3.655638539E-01  5.858998722E-03  4.149361205E+01  3.053519678E+01 -2.809486782E+01  4.714192805E-01  3.338606076E+03 
        72  1.924435049E-02  6.322808564E-02  2.976659675E-01  3.882913358E-03  2.749891374E+01  1.880400734E+01 -2.006488388E+01  7.021335798E-01  4.972531954E+03 
        73  2.144907787E-02  6.129269674E-02  2.369091507E-01  2.458779975E-03  1.741315662E+01  1.108906318E+01 -1.342574770E+01  8.478780929E-01  6.004699150E+03 
        74  2.394760028E-02  5.934249982E-02  1.814970988E-01  1.442783127E-03  1.021783519E+01  6.078807830E+00 -8.212931959E+00  9.348855713E-01  6.620888831E+03 
        75  2.673744597E-02  5.737760663E-02  1.282248433E-01  7.200337216E-04  5.099301317E+00  2.844173325E+00 -4.232440433E+00  9.817808386E-01  6.953002580E+03 
        76  2.981597371E-02  5.539809912E-02  6.856740317E-02  2.058725500E-04  1.457995833E+00  7.652259342E-01 -1.241040337E+00  1.001811072E+00  7.094857316E+03 
