"rf_coeffs"
"Iteration" "cd etc.."
("Iteration" "cd" "cl")
1 12.39865221044975 26.50504188666064
2 3.952699047988613 9.331837016941797
3 0.004321933615130471 0.0525180817666548
4 -0.4536805008499516 -0.8433819521739764
5 -0.02458831731285666 -0.4708468939151522
6 -0.2767493642917289 -0.2452419882039887
7 0.03165001415179081 0.1747217931803364
8 0.04681117951259702 0.6566509549665036
9 0.1150354734681214 0.5623891967300456
10 0.231532224135366 0.9664939844366709
11 0.0608140294711122 0.5377189519551123
12 0.3624885455778187 1.172333523830288
13 -0.01921642373953703 0.4400756471055467
14 0.3950829042889056 1.208193199339436
15 -0.04064817255728326 0.4669584239013262
16 0.3269625060911301 1.05343676229353
17 0.01294613717204768 0.599660013853436
18 0.2452121910997365 0.9757481067424267
19 0.2162131778175704 0.9451080318821421
20 -0.0807712109162978 0.4078459864146288
21 0.3737502422906043 1.177772640986983
22 -0.3585513598946838 -0.09466200938564019
23 0.6919580665224887 1.765026443782104
24 -0.7421752297411649 -0.9578095980786767
25 0.4789954100534077 0.9226617855096143
26 -0.6932630819023593 -0.8960898313828664
27 -0.1826838046705191 -0.3194176084311743
28 -0.1760092220947214 0.3190403389530429
29 -0.5904061398686606 -1.482332301927979
30 0.8769468871686981 1.908819207276768
31 -1.07434241334258 -1.470824962786191
32 1.053916345875963 2.675815223742025
33 -0.5460954856684149 0.1868549014476025
34 1.266490573803458 2.132747422742471
35 -0.3096073898446904 0.826046924854376
36 0.5297234843206285 0.6844677253006166
37 0.8413835799938731 2.265518680330081
38 -0.9186048426047695 -0.8551957390774839
39 1.204335540655662 3.583296895000658
40 0.9377806815634991 3.74474502819407
41 3.7778509407977 11.40992403509623
42 -1.202812798617906 2.297288629798044
43 2.458695363702602 9.401434064365597
44 -2.679214448439203 -2.115601712537991
45 5.330985894948856 11.25743242734973
46 -0.943963605726938 1.489052433051175
47 0.07036877415442316 -3.820300251882085
48 -5.677498546590558 -12.06893678978591
49 2.264681508258686 4.871122827476982
50 -0.379590731547857 3.967493874297555
51 4.616109270246616 14.82942818240243
52 4.54755899910513 18.45491423669061
53 3.533482184673634 9.044459506316494
54 6.253735247481071 11.79366034531325
55 6.946701215077111 9.877226716344163
56 8.023066778425877 18.63401440259819
57 3.798997588164196 11.32773501085836
58 8.667711010892704 21.48286455962797
59 -2.61365685009094 -7.451086333264043
60 3.602278709709049 -4.406869886456123
61 -13.54450583441797 -34.78735084825796
62 0.6303546575529095 -3.968677985101873
63 -10.50571097901246 -32.98990955813476
64 5.56016632523773 10.99940661720393
65 -5.341306873801543 -14.50350478517436
66 -16.1427621352272 -53.45325249960383
67 -4.716273463456046 -40.16849812490877
68 5.629022497497113 8.100949552595626
69 4.882883853907419 -6.676259897688709
70 6.991797638924477 37.95718467535285
71 -1.475779293556384 32.18074682779059
72 37.02998379535848 127.9255479584191
73 6.371797394322455 40.70797230307364
74 -2.11893387741445 23.87471583128973
75 -11.85418974997865 59.89440727971684
76 -30.39814045049657 86.70361617550535
77 -3.299887892191657 109.5303459442773
78 -32.20823712840096 43.44239529655049
79 -16.5403364262078 -211.0104002949568
80 -63.10654767607559 -241.8523303900639
81 67.77689321438933 284.2923553607295
82 40.26501051314804 234.2472012064372
83 20.31082057378635 -19.0300151699832
84 12.50294122248583 127.4861440886657
85 -54.05757673732515 -202.1839517282261
86 45.94621330337569 521.3819271638447
87 111.4264222114987 871.6582013724179
88 -41.47701132386906 401.2614016986431
89 -50.27244743489247 225.7680150935988
90 -35.74437872541277 682.8298642610292
91 30.27744960000562 214.3956358415871
92 54.02482726093837 207.3669952621896
93 365.2498782469993 259.1877586395868
94 -30.10797574883912 -600.5366654072849
95 252.3299693451959 -353.5910308957564
96 -409.9940458636614 -1125.375471878696
97 -198.4541543694862 -219.4879519069346
98 -600.3256224287891 715.3610205400107
