"rf_coeffs"
"Iteration" "cd etc.."
("Iteration" "cd" "cl")
1 3.646570237922425 5.942762767152555
2 0.6860934014592369 2.059279457076061
3 0.5979139333127189 0.517051009110489
4 0.001802851669273386 -0.02198081686989834
5 0.1926848751208778 -0.1845560980610617
6 -0.02011060110151234 -0.022717142882392
7 0.1183200917932441 0.02542131793978002
8 0.01930190057899716 0.1856046559706543
9 0.09645162007913778 0.1960037013330685
10 0.04670529581909208 0.2706232346652147
11 0.07444974491088605 0.2064647873789453
12 0.05566941566920253 0.2592233030566785
13 0.05879289664344209 0.2068197970806229
14 0.05672770523895058 0.2644649589776356
15 0.04979273672600341 0.2425253875167186
16 0.05550114424079846 0.2739753392650181
17 0.04609636610420136 0.2581782970836077
18 0.04905171553041438 0.2739642510982185
19 0.0453840234470931 0.2740438884632952
20 0.04621621068066846 0.296783477321475
21 0.04258375067472134 0.2738327658075193
22 0.04334638690468692 0.2996135626642361
23 0.04268012498155064 0.2935138186949174
24 0.04361279449919087 0.3085084006701098
25 0.04144114112322198 0.3090215931809245
26 0.03994326699426782 0.3061093458609747
27 0.04057254395022611 0.3168828082549188
28 0.03925733869943213 0.3189198508026137
29 0.04053365603794752 0.3355675332550777
30 0.03840808798496403 0.3262663867368692
31 0.03811724051795794 0.3274311357326504
32 0.03800350926535138 0.3334834630666815
33 0.03618966155164236 0.3252514335038641
34 0.03715500998155236 0.3438719355184509
35 0.03568188073177409 0.3326970913419866
36 0.03631318004211831 0.3479236511966127
37 0.03572045978206743 0.3453260081174017
38 0.03522316373458043 0.3493665084540569
39 0.03485010135753529 0.3515116328211248
40 0.03441151100297647 0.352955598019515
41 0.03411321706143086 0.3563221298629736
42 0.0338329724511434 0.3583598841751979
43 0.03329696706714812 0.3606292823227769
44 0.03316032851919311 0.3631911790105478
45 0.03260948263364344 0.3652921600149608
46 0.0324974654790403 0.36803814266666
47 0.03200387799504078 0.3698722855517256
48 0.03182307836679606 0.3725853202341809
49 0.03149204722365202 0.3745393733840092
50 0.03115575254965824 0.3769556958237302
51 0.03096617823112051 0.3788859843430046
52 0.03049174227451572 0.3802792834537135
53 0.03049642959657412 0.383969011657456
54 0.03002352560844444 0.3846180204081627
55 0.02994747876019675 0.3875871768106551
56 0.02955253848800804 0.3886391628446013
57 0.02944637093373685 0.3913198118273355
58 0.02916908498087004 0.3929195947821931
59 0.02896786344480836 0.3950500201818636
60 0.02885824869991925 0.3972979937245471
61 0.02851648062949975 0.3985351615701901
62 0.02852116376618206 0.4012704296613354
63 0.02817621916105307 0.4023647622025139
64 0.02812996997911976 0.4049285140288773
65 0.02789752731234674 0.4064045300727475
66 0.0277611489939333 0.4084741664766592
67 0.02765867664197462 0.4105910457837943
68 0.02742724228786381 0.4120939083532494
69 0.02737079254746228 0.4144066225001644
70 0.02714008120073162 0.4158089486932762
71 0.02708813605801928 0.4180439578368867
72 0.02689024123781602 0.4196376425600299
73 0.02678054394513399 0.4215163834067311
74 0.02667735401576119 0.4235211228914595
75 0.02652158603232693 0.4251512957698215
76 0.02644857212572755 0.4272225244956704
77 0.02626405593306813 0.4286670611618824
78 0.0262394576551111 0.4308769615768939
79 0.02604886396922334 0.4322992853812902
80 0.02600205955050859 0.4342268086548511
81 0.02586852991210207 0.4358741777103596
82 0.02577220580074329 0.4375582251781159
83 0.02569914233394141 0.4393973874099447
84 0.02555901570276669 0.4407738456560845
85 0.02552542496236352 0.4426471541889812
86 0.025380565544965 0.4440729868612381
87 0.02534498537711769 0.4458200271090889
88 0.02523246262576581 0.4472898303359205
89 0.02517002178946514 0.4488407720543508
90 0.02508914183632126 0.4502993385834447
91 0.02500390762691317 0.4517420404230561
92 0.02496236837442288 0.4533049041585084
93 0.02486741800729655 0.45469655678255
94 0.02483024329768389 0.4561969045406564
95 0.02473466287805205 0.4574293261444404
96 0.02468527013432401 0.458797435324423
97 0.02463278870182533 0.4601048351126863
98 0.0245653696882964 0.4614375697711572
99 0.02452444672883348 0.4627643648501665
100 0.02444270210500551 0.4638758695499122
101 0.02441221762035999 0.4651774514601499
102 0.02434099021599506 0.4662950766052403
103 0.02430806290705773 0.4675142232630429
104 0.02425052103777992 0.4686455239678882
105 0.02420248641903885 0.4697484624642289
106 0.02416523987886889 0.4708688169555166
107 0.02410916317117662 0.4718765090312457
108 0.02408259364167223 0.4729963279222865
109 0.02402561708766761 0.4739575041297401
110 0.02399938212189013 0.4750173414022029
111 0.02395251726281901 0.4759762290958015
112 0.02391918772328815 0.4769514516717778
113 0.02388358510435708 0.4779040345204187
114 0.0238445894554534 0.4787972557849864
115 0.02382123666304178 0.4797676771339111
116 0.02377927770112985 0.4805963121708601
117 0.02375869023900622 0.4815232720162583
118 0.02372012211276875 0.4823361522512569
119 0.02369823455207264 0.4831822616122909
120 0.02366878522843772 0.484005037453972
121 0.02364135266444199 0.4847922137249261
122 0.02362115412139887 0.4856072196575004
123 0.02358978908437501 0.4863407040856488
124 0.02357578805368565 0.4871296678246742
125 0.02354221715051343 0.4877966376212095
126 0.02353467711823099 0.4886003219995114
127 0.02350555343877682 0.489256317291722
128 0.0234945794698517 0.4900110800256329
129 0.0234709094342967 0.4906617288576737
130 0.02345845666821915 0.4913439878465256
