case_id,arm,naca,re,aoa_deg,mesh_level,model,variant,n_iter,status,cd,cl,cd_window_mean,cd_window_std,cd_p2p,cl_window_mean,cl_p2p,cd_rel_change_150,yplus_max,yplus_avg,min_orthogonality,mach,u_inf,wall_min,airfrans_sim,has_cas,has_dat,has_encas,integrity_ok,cells_trn,cells_mesh
al_rand_naca4415_re2e6_a0,random,4415,2000000.0,0.0,2,sa,s0,4300,converged,0.01166529433833695,0.4295811354919816,0.011712652741399656,2.5580153545438587e-05,0.00010272712457314905,0.43018961162992536,0.001272650492997296,0.0019122454632524962,0.40588871,0.27593522,0.28114868849069186,0.09031791907514451,31.25,6.180760333727046e-06,,True,True,True,True,43008,43008
al_rand_naca4415_re2e6_a0,random,4415,2000000.0,0.0,2,sst,s0,0,not_run,,nan,,,,nan,nan,,nan,nan,0.28114868849069186,0.09031791907514451,31.25,6.180760333727046e-06,,False,False,False,False,,
al_var_naca0010_re3e6_a18,variance,0010,3000000.0,18.0,2,sa,s0,445,diverged,4.759925837851459e+86,1.003253796376343e+88,nan,nan,nan,2.4931124484274728e+85,1.0036060186956256e+88,nan,nan,nan,0.15220539854558812,0.13547687861271676,46.875,4.241589073757628e-06,,False,False,False,True,43008,43008
al_var_naca0010_re3e6_a18,variance,0010,3000000.0,18.0,2,sa,r1,7000,diverged,0.1488409326073507,0.3980155942398037,0.1814534133327988,0.02179421746517967,0.07498145428917338,0.48517073845727415,0.21126902738921804,0.05079640595733744,0.66138047,0.18871782,0.15220539854558812,0.13547687861271676,46.875,4.241589073757628e-06,,True,True,True,True,43008,43008
al_var_naca0010_re3e6_a18,variance,0010,3000000.0,18.0,2,sst,s0,0,not_run,,nan,,,,nan,nan,,nan,nan,0.15220539854558812,0.13547687861271676,46.875,4.241589073757628e-06,,False,False,False,False,,
al_var_naca0010_re6e6_a18,variance,0010,6000000.0,18.0,2,sa,s0,473,diverged,9.889275284792381e+95,-4.93758075438704e+95,nan,nan,nan,-9.128477440269506e+92,5.954819238908986e+95,nan,nan,nan,0.1402952829186368,0.2709537572254335,93.75,2.2284389388448935e-06,,False,False,False,True,43008,43008
al_var_naca0010_re6e6_a18,variance,0010,6000000.0,18.0,2,sa,r1,7000,diverged,0.1183303623344772,0.3126939232421224,0.14094026498256665,0.016236718139872274,0.0559335892902028,0.36489770677538186,0.14556229329725556,0.03802864314931348,0.65404797,0.18960733,0.1402952829186368,0.2709537572254335,93.75,2.2284389388448935e-06,,True,True,True,True,43008,43008
al_var_naca0010_re6e6_a18,variance,0010,6000000.0,18.0,2,sst,s0,0,not_run,,nan,,,,nan,nan,,nan,nan,0.1402952829186368,0.2709537572254335,93.75,2.2284389388448935e-06,,False,False,False,False,,
al_var_naca0015_re6e6_a18,variance,0015,6000000.0,18.0,2,sa,s0,438,diverged,-2.075194625355277e+93,-8.156634963804784e+96,nan,nan,nan,-1.8622772221163124e+94,8.156635525228264e+96,nan,nan,nan,0.15863330773960627,0.2709537572254335,93.75,2.2284389388448935e-06,,False,False,False,True,43008,43008
al_var_naca0015_re6e6_a18,variance,0015,6000000.0,18.0,2,sa,r1,7000,diverged,0.08752735400581539,1.672713775154621,0.09668157934712053,0.004615324958669705,0.015512547893017203,1.549088970111708,0.265566575929437,0.03721732689445301,0.98735642,0.21811379,0.15863330773960627,0.2709537572254335,93.75,2.2284389388448935e-06,,True,True,True,True,43008,43008
