cellnumber     x-coordinate     y-coordinate           y-plus skin-friction-coef       wall-shear     y-wall-shear     x-wall-shear pressure-coefficient         pressure 
        37  8.536905646E-01 -2.125880867E-01  2.453422974E-01  2.764568184E-03  9.989162384E+00 -1.829253624E+00  9.820244208E+00  1.910367362E-01  6.902694571E+02 
        38  8.612090945E-01 -2.139831185E-01  2.457344699E-01  2.773405126E-03  1.002109274E+01 -1.820976215E+00  9.854255189E+00  1.867271531E-01  6.746977212E+02 
        39  8.684925437E-01 -2.153238356E-01  2.461914832E-01  2.783757354E-03  1.005849825E+01 -1.813899634E+00  9.893591623E+00  1.823647009E-01  6.589349544E+02 
        40  8.755361438E-01 -2.166103125E-01  2.466867064E-01  2.794965015E-03  1.009899468E+01 -1.807592339E+00  9.935909800E+00  1.779228378E-01  6.428852539E+02 
        41  8.823353648E-01 -2.178426534E-01  2.472295787E-01  2.807247832E-03  1.014337595E+01 -1.802203663E+00  9.981990669E+00  1.733667768E-01  6.264229241E+02 
        42  8.888857365E-01 -2.190209925E-01  2.478410170E-01  2.821175380E-03  1.019370010E+01 -1.798102950E+00  1.003386005E+01  1.686559786E-01  6.094014852E+02 
        43  8.951831460E-01 -2.201454788E-01  2.485225909E-01  2.836691089E-03  1.024976272E+01 -1.795255313E+00  1.009131777E+01  1.637440005E-01  5.916531268E+02 
        44  9.012233019E-01 -2.212163061E-01  2.493225104E-01  2.854893246E-03  1.031553224E+01 -1.794355247E+00  1.015827222E+01  1.585755020E-01  5.729778881E+02 
        45  9.070023894E-01 -2.222336978E-01  2.502523531E-01  2.876199883E-03  1.039251911E+01 -1.795656217E+00  1.023621376E+01  1.530865195E-01  5.531446507E+02 
        46  9.125166535E-01 -2.231978476E-01  2.513417436E-01  2.901330276E-03  1.048332229E+01 -1.799594815E+00  1.032770568E+01  1.471970276E-01  5.318642600E+02 
        47  9.177623987E-01 -2.241090387E-01  2.525886577E-01  2.930178543E-03  1.058755919E+01 -1.806092019E+00  1.043237467E+01  1.408185891E-01  5.088171677E+02 
        48  9.227361679E-01 -2.249675244E-01  2.540737690E-01  2.964791252E-03  1.071262464E+01 -1.816393636E+00  1.055751111E+01  1.338480661E-01  4.836307077E+02 
        49  9.274347425E-01 -2.257735580E-01  2.558408281E-01  3.006165928E-03  1.086212298E+01 -1.831080929E+00  1.070667354E+01  1.261617886E-01  4.558580253E+02 
        50  9.318549633E-01 -2.265274376E-01  2.579197949E-01  3.055261982E-03  1.103952083E+01 -1.850707280E+00  1.088328548E+01  1.176174979E-01  4.249850998E+02 
        51  9.359940290E-01 -2.272294462E-01  2.604129412E-01  3.114591519E-03  1.125389514E+01 -1.876755750E+00  1.109630315E+01  1.080589265E-01  3.904472929E+02 
        52  9.398490191E-01 -2.278798670E-01  2.633640158E-01  3.185514313E-03  1.151015914E+01 -1.909999841E+00  1.135057990E+01  9.730666099E-02  3.515963336E+02 
        53  9.434175491E-01 -2.284789681E-01  2.668463404E-01  3.270420475E-03  1.181694898E+01 -1.951824334E+00  1.165464135E+01  8.517763089E-02  3.077707366E+02 
        54  9.466970563E-01 -2.290270478E-01  2.709379007E-01  3.371377687E-03  1.218173578E+01 -2.003413529E+00  1.201586538E+01  7.149715470E-02  2.583393285E+02 
        55  9.496855140E-01 -2.295243442E-01  2.756632492E-01  3.489957297E-03  1.261019727E+01 -2.065657514E+00  1.243986070E+01  5.613341942E-02  2.028258319E+02 
        56  9.523808956E-01 -2.299711257E-01  2.809488090E-01  3.625249758E-03  1.309904698E+01 -2.137990638E+00  1.292339072E+01  3.908361849E-02  1.412201059E+02 
        57  9.547812939E-01 -2.303676307E-01  2.866442526E-01  3.773693168E-03  1.363541477E+01 -2.218318649E+00  1.345375778E+01  2.054013338E-02  7.421727880E+01 
        58  9.568852186E-01 -2.307140529E-01  2.923268840E-01  3.924646514E-03  1.418085166E+01 -2.300448945E+00  1.399301570E+01  1.251810920E-03  4.523144926E+00 
        59  9.586911798E-01 -2.310106158E-01  2.968329869E-01  4.046664683E-03  1.462173763E+01 -2.366100888E+00  1.442902553E+01 -1.755557155E-02 -6.343321753E+01 
        60  9.601980448E-01 -2.312574834E-01  2.986210152E-01  4.095580151E-03  1.479848297E+01 -2.389727776E+00  1.460425621E+01 -3.288293398E-02 -1.188152888E+02 
        61  9.614047408E-01 -2.314547747E-01  2.936802544E-01  3.961047816E-03  1.431237980E+01 -2.307367781E+00  1.412516441E+01 -4.197348861E-02 -1.516620194E+02 
        62  9.623104930E-01 -2.316026539E-01  2.795549985E-01  3.589264641E-03  1.296902263E+01 -2.088168142E+00  1.279980866E+01 -4.026222295E-02 -1.454787353E+02 
        63  9.629146457E-01 -2.317011803E-01  2.705362560E-01  3.361577046E-03  1.214632331E+01 -1.954055158E+00  1.198811238E+01 -3.284657322E-02 -1.186839072E+02 
        64  9.632168412E-01 -2.317504287E-01  3.565316599E-01  5.838219627E-03  2.109512951E+01 -3.392274391E+00  2.082058990E+01 -3.035457930E-02 -1.096796322E+02 
        65  1.222200505E-02  7.589294761E-02  9.077211982E-01  3.795636802E-02  1.371470329E+02  1.371399192E+02  1.396851878E+00 -5.863887279E+00 -2.118787396E+04 
        66  1.234791055E-02  7.317440212E-02  8.601720768E-01  3.408073542E-02  1.231432823E+02  1.224954525E+02 -1.261475670E+01 -4.917781780E+00 -1.776932870E+04 
        67  1.277870312E-02  7.046405226E-02  8.034530654E-01  2.972754762E-02  1.074139904E+02  1.050126137E+02 -2.258575428E+01 -3.964809282E+00 -1.432597104E+04 
        68  1.350951195E-02  6.776189804E-02  7.407329515E-01  2.525933942E-02  9.126909752E+01  8.677450864E+01 -2.828838652E+01 -3.063593052E+00 -1.106962333E+04 
        69  1.453528646E-02  6.506762654E-02  6.756878454E-01  2.101042545E-02  7.591657633E+01  6.959991205E+01 -3.031796175E+01 -2.250447547E+00 -8.131499926E+03 
        70  1.585082710E-02  6.238058209E-02  6.099083438E-01  1.711266007E-02  6.183285378E+01  5.432262984E+01 -2.953563432E+01 -1.541577848E+00 -5.570154335E+03 
        71  1.745081693E-02  5.969983712E-02  5.457500673E-01  1.369740012E-02  4.949255904E+01  4.149487854E+01 -2.697570119E+01 -9.601618406E-01 -3.469334776E+03 
        72  1.932985336E-02  5.702418089E-02  4.861739906E-01  1.086714830E-02  3.926606318E+01  3.134452827E+01 -2.365046015E+01 -4.887558538E-01 -1.766012362E+03 
        73  2.148248628E-02  5.435215309E-02  4.309301874E-01  8.535873495E-03  3.084251165E+01  2.342184526E+01 -2.006683058E+01 -1.133682876E-01 -4.096315078E+02 
        74  2.390325442E-02  5.168205872E-02  3.803896522E-01  6.649896407E-03  2.402794600E+01  1.736373638E+01 -1.660851733E+01  1.796023267E-01  6.489537194E+02 
        75  2.658671699E-02  4.901199415E-02  3.347125435E-01  5.148024474E-03  1.860126031E+01  1.280596875E+01 -1.349125825E+01  4.053587180E-01  1.464675055E+03 
        76  2.952750586E-02  4.633987322E-02  2.935304186E-01  3.958715163E-03  1.430395127E+01  9.397479215E+00 -1.078380297E+01  5.772626662E-01  2.085812368E+03 
        77  3.272034600E-02  4.366344586E-02  2.563836606E-01  3.019888109E-03  1.091170508E+01  6.855590300E+00 -8.489180728E+00  7.067533862E-01  2.553698759E+03 
        78  3.616010770E-02  4.098032787E-02  2.227273582E-01  2.278905335E-03  8.234325918E+00  4.959011045E+00 -6.573608809E+00  8.031008817E-01  2.901829358E+03 
        79  3.984183818E-02  3.828801215E-02  1.920090566E-01  1.693555410E-03  6.119292008E+00  3.541275425E+00 -4.990501282E+00  8.737226122E-01  3.157005532E+03 
        80  4.376079515E-02  3.558389470E-02  1.636195240E-01  1.229756556E-03  4.443456307E+00  2.477258940E+00 -3.688833433E+00  9.244353914E-01  3.340245067E+03 
        81  4.791247845E-02  3.286530450E-02  1.369023137E-01  8.609204746E-04  3.110747809E+00  1.674965012E+00 -2.621305808E+00  9.597748993E-01  3.467936648E+03 
        82  5.229267105E-02  3.012951091E-02  1.110179269E-01  5.661349114E-04  2.045604660E+00  1.066426376E+00 -1.745632611E+00  9.832532851E-01  3.552770659E+03 
        83  5.689745024E-02  2.737374790E-02  8.464714790E-02  3.291175209E-04  1.189194167E+00  6.016913076E-01 -1.025743797E+00  9.975836190E-01  3.604550186E+03 
        84  6.172322854E-02  2.459524199E-02  5.467043806E-02  1.372857762E-04  4.960521210E-01  2.441516691E-01 -4.318074446E-01  1.004863135E+00  3.630853125E+03 
        85  6.676675379E-02  2.179121785E-02  2.031685134E-02  1.895958259E-05  6.850630428E-02 -3.287177870E-02  6.010457463E-02  1.006710057E+00  3.637526575E+03 
        86  7.202512026E-02  1.895892806E-02  5.659915799E-02  1.471402268E-04  5.316590225E-01 -2.492180567E-01  4.696292968E-01  1.004356160E+00  3.629021281E+03 
        87  7.749580592E-02  1.609567180E-02  7.416014531E-02  2.526087825E-04  9.127465774E-01 -4.187790514E-01  8.110058080E-01  9.987497404E-01  3.608763711E+03 
        88  8.317662776E-02  1.319881063E-02  8.607296950E-02  3.402816935E-04  1.229533463E+00 -5.531433821E-01  1.098082390E+00  9.906421639E-01  3.579468756E+03 
        89  8.906578273E-02  1.026579738E-02  9.501417918E-02  4.146486542E-04  1.498242208E+00 -6.619948472E-01  1.344058233E+00  9.806037051E-01  3.543196981E+03 
        90  9.516180307E-02  7.294195239E-03  1.021677259E-01  4.794342330E-04  1.732330725E+00 -7.528858079E-01  1.560170728E+00  9.690755854E-01  3.501542643E+03 
        91  1.014635563E-01  4.281704780E-03  1.082121145E-01  5.378446241E-04  1.943383896E+00 -8.318998484E-01  1.756326737E+00  9.563955628E-01  3.455726155E+03 
        92  1.079702154E-01  1.226194669E-03  1.135985546E-01  5.927125257E-04  2.141637056E+00 -9.040637938E-01  1.941462834E+00  9.428219078E-01  3.406680721E+03 
        93  1.146812513E-01 -1.874271547E-03  1.186404117E-01  6.464806276E-04  2.335916330E+00 -9.734564469E-01  2.123414149E+00  9.285516587E-01  3.355118298E+03 
        94  1.215963736E-01 -5.021400284E-03  1.235716081E-01  7.013465324E-04  2.534162275E+00 -1.043528137E+00  2.309334853E+00  9.137336597E-01  3.301576700E+03 
        95  1.287155151E-01 -8.216633461E-03  1.285449832E-01  7.589353602E-04  2.742246907E+00 -1.116685743E+00  2.504582011E+00  8.984796219E-01  3.246459571E+03 
        96  1.360388249E-01 -1.146110892E-02  1.336173374E-01  8.200065530E-04  2.962914303E+00 -1.193940210E+00  2.711709413E+00  8.828708041E-01  3.190060523E+03 
        97  1.435665190E-01 -1.475562248E-02  1.387779243E-01  8.845652048E-04  3.196182869E+00 -1.275143788E+00  2.930800787E+00  8.669649026E-01  3.132588027E+03 
        98  1.512989998E-01 -1.810058206E-02  1.439700537E-01  9.519879996E-04  3.439800389E+00 -1.359222901E+00  3.159863893E+00  8.508029716E-01  3.074190425E+03 
        99  1.592367142E-01 -2.149596810E-02  1.491244576E-01  1.021373832E-03  3.690510918E+00 -1.444709853E+00  3.395980606E+00  8.344131810E-01  3.014969502E+03 
       100  1.673800796E-01 -2.494128793E-02  1.541835074E-01  1.091848613E-03  3.945156121E+00 -1.530180734E+00  3.636317333E+00  8.178166107E-01  2.955001425E+03 
       101  1.757296026E-01 -2.843552642E-02  1.591163664E-01  1.162828935E-03  4.201627986E+00 -1.614614310E+00  3.879007394E+00  8.010290331E-01  2.894343186E+03 
       102  1.842856258E-01 -3.197711334E-02  1.639038271E-01  1.233847208E-03  4.458236984E+00 -1.697131098E+00  4.122574807E+00  7.840639098E-01  2.833043424E+03 
