epoch,train_loss,train_p_rel_l2,train_tau_rel_l2,train_head,train_force,train_sym,val_loss,val_p_rel_l2,val_tau_rel_l2,val_cl_mae,val_cd_mae,lr,epoch_time_s
0,2.844697223,1.323185025,1.460505418,5.101532844,0,0,2.504421282,1.698277431,0.7849911332,0.584790414,0.003617970101,0.001,8.072107236
1,1.70603789,0.9566588334,0.7297900306,1.638081315,0,0,1.256683471,0.6030116868,0.6341518271,0.520671404,0.003505106713,0.0009999845942,3.158179512
2,1.428333933,0.7556305426,0.6552895971,1.456182008,0,0,1.403582683,0.7584720206,0.6286528444,0.4277969538,0.003053411138,0.0009999383779,3.176108788
3,1.227430692,0.6606063213,0.5519660576,1.242487616,0,0,0.9237488127,0.3908179641,0.5205512726,0.3094597398,0.00240487834,0.0009998613539,3.149782876
4,1.040518377,0.5187190944,0.510084413,0.979626913,0,0,1.513580713,0.9644458389,0.5379226804,0.2621788344,0.00233677221,0.0009997535269,3.157278532
5,1.365951503,0.9558872804,0.3971456289,1.080284302,0,0,1.301947443,0.9084252465,0.3789366192,0.3403666284,0.003045922504,0.0009996149036,3.20330381
6,1.259549443,0.7301823178,0.5156819712,1.144385512,0,0,0.786106317,0.365898326,0.4059955889,0.392540959,0.002434202204,0.0009994454925,3.171133476
7,0.9929180999,0.4634017098,0.5151986249,1.197286236,0,0,0.8034836912,0.3458603537,0.4456374621,0.2678820282,0.002606641706,0.0009992453042,3.174222197
8,0.7961174358,0.3860072199,0.3977256573,1.035626743,0,0,0.821986649,0.4780640602,0.3303615624,0.3454015698,0.002578203348,0.0009990143508,3.195549629
9,0.752326544,0.3871548931,0.3548652713,0.8618443066,0,0,0.6727029228,0.3060107505,0.3548935181,0.277848911,0.002441856177,0.0009987526468,3.170701111
10,0.5969398753,0.2739364021,0.3139650036,0.7558184998,0,0,0.6760705853,0.2527502877,0.4137597311,0.2247129259,0.001982438895,0.0009984602082,3.178680412
11,0.6617488854,0.3573820906,0.2955116667,0.740486485,0,0,0.7348735762,0.4413135576,0.283695575,0.2285402682,0.002074514837,0.0009981370531,3.196536019
12,0.6094786958,0.2975338748,0.3037754947,0.683139016,0,0,0.5216099393,0.1835354951,0.3295108306,0.1991046191,0.00179479253,0.0009977832013,3.176938741
13,0.5491574136,0.2303502834,0.309980171,0.7381311879,0,0,0.5686804056,0.2115064445,0.3450445575,0.2978879833,0.002402904327,0.0009973986748,3.178600057
14,0.4900158725,0.2182170666,0.2638997771,0.660535939,0,0,0.5303178263,0.2691501361,0.253258509,0.18776026,0.001623689062,0.0009969834972,3.185780702
15,0.5154041519,0.2782899358,0.2296162298,0.6269995171,0,0,0.5897257507,0.2823558295,0.2981185329,0.2430383867,0.001693946528,0.0009965376942,3.178559897
