cellnumber     x-coordinate     y-coordinate           y-plus skin-friction-coef       wall-shear     y-wall-shear     x-wall-shear pressure-coefficient         pressure 
        37  8.893662691E-01  1.448046695E-02  2.086308681E-01  2.269702654E-03  1.364155965E+00  9.199430565E-02  1.361050530E+00  1.199606632E-01  7.209977665E+01 
        38  8.969277143E-01  1.498551201E-02  2.081193517E-01  2.258587736E-03  1.357475583E+00  8.935639816E-02  1.354531429E+00  1.227552664E-01  7.377941276E+01 
        39  9.042538404E-01  1.546317898E-02  2.075843069E-01  2.246988278E-03  1.350503978E+00  8.680263772E-02  1.347711504E+00  1.255126257E-01  7.543666428E+01 
        40  9.113398194E-01  1.591434330E-02  2.070236906E-01  2.234862997E-03  1.343216339E+00  8.433233864E-02  1.340566369E+00  1.282469070E-01  7.708004524E+01 
        41  9.181808829E-01  1.633987576E-02  2.064284867E-01  2.222027370E-03  1.335501762E+00  8.193936499E-02  1.332985707E+00  1.309717356E-01  7.871774484E+01 
        42  9.247725606E-01  1.674062386E-02  2.057932713E-01  2.208377033E-03  1.327297520E+00  7.962080285E-02  1.324907255E+00  1.337003104E-01  8.035769605E+01 
        43  9.311105013E-01  1.711742766E-02  2.051138956E-01  2.193816747E-03  1.318546373E+00  7.737405606E-02  1.316274209E+00  1.364454673E-01  8.200761359E+01 
        44  9.371904135E-01  1.747110300E-02  2.043839448E-01  2.178227701E-03  1.309176912E+00  7.519567926E-02  1.307015607E+00  1.392193098E-01  8.367477198E+01 
        45  9.430083036E-01  1.780244336E-02  2.035961846E-01  2.161472890E-03  1.299106793E+00  7.308163364E-02  1.297049550E+00  1.420330662E-01  8.536591971E+01 
        46  9.485601783E-01  1.811221242E-02  2.027434983E-01  2.143403650E-03  1.288246665E+00  7.102751585E-02  1.286287123E+00  1.448972002E-01  8.708734590E+01 
        47  9.538424015E-01  1.840115525E-02  2.018198137E-01  2.123918139E-03  1.276535318E+00  6.903047375E-02  1.274667491E+00  1.478210628E-01  8.884467059E+01 
        48  9.588513374E-01  1.866997778E-02  2.008185833E-01  2.102895198E-03  1.263899932E+00  6.708693153E-02  1.262118212E+00  1.508133771E-01  9.064313679E+01 
        49  9.635836482E-01  1.891936176E-02  1.997309783E-01  2.080173272E-03  1.250243407E+00  6.519193499E-02  1.248542586E+00  1.538806126E-01  9.248663269E+01 
        50  9.680360556E-01  1.914994791E-02  1.985467819E-01  2.055583940E-03  1.235464518E+00  6.334028400E-02  1.233839772E+00  1.570299896E-01  9.437949797E+01 
        51  9.722055793E-01  1.936234906E-02  1.972525423E-01  2.028876715E-03  1.219412715E+00  6.152423863E-02  1.217859654E+00  1.602634467E-01  9.632289783E+01 
        52  9.760893583E-01  1.955713518E-02  1.958394836E-01  1.999915829E-03  1.202006397E+00  5.973950282E-02  1.200520957E+00  1.635892658E-01  9.832180988E+01 
        53  9.796847701E-01  1.973484457E-02  1.942855684E-01  1.968311186E-03  1.183011106E+00  5.797407115E-02  1.181589727E+00  1.669970254E-01  1.003699705E+02 
        54  9.829893708E-01  1.989597641E-02  1.925946319E-01  1.934200469E-03  1.162509593E+00  5.623141852E-02  1.161148820E+00  1.705065110E-01  1.024792713E+02 
        55  9.860007763E-01  2.004098333E-02  1.907061079E-01  1.896455327E-03  1.139823687E+00  5.447790584E-02  1.138521056E+00  1.740617746E-01  1.046160861E+02 
        56  9.887170196E-01  2.017029002E-02  1.887147001E-01  1.857059321E-03  1.116145565E+00  5.276924837E-02  1.114897452E+00  1.777383757E-01  1.068258281E+02 
        57  9.911361933E-01  2.028427087E-02  1.864153683E-01  1.812085400E-03  1.089114957E+00  5.099192136E-02  1.087920591E+00  1.813071194E-01  1.089707447E+02 
        58  9.932566881E-01  2.038326301E-02  1.843848989E-01  1.772829870E-03  1.065521265E+00  4.946061690E-02  1.064372686E+00  1.850810253E-01  1.112389697E+02 
        59  9.950769544E-01  2.046756260E-02  1.817147147E-01  1.721859108E-03  1.034886385E+00  4.768399375E-02  1.033787244E+00  1.881544580E-01  1.130861903E+02 
        60  9.965957403E-01  2.053742297E-02  1.819131940E-01  1.725621205E-03  1.037147512E+00  4.749249178E-02  1.036059567E+00  1.918362449E-01  1.152990492E+02 
        61  9.978120923E-01  2.059305646E-02  1.812989402E-01  1.713989253E-03  1.030156377E+00  4.693768496E-02  1.029086496E+00  1.924652504E-01  1.156770994E+02 
        62  9.987250566E-01  2.063463442E-02  1.983197295E-01  2.050887586E-03  1.232641875E+00  5.595328434E-02  1.231371277E+00  1.945843216E-01  1.169507216E+02 
        63  9.993340969E-01  2.066228166E-02  2.307779375E-01  2.777169405E-03  1.669157942E+00  7.557822524E-02  1.667446002E+00  1.877954224E-01  1.128703997E+02 
        64  9.996386766E-01  2.067608386E-02  3.061519649E-01  4.887525122E-03  2.937541858E+00  1.328427957E-01  2.934536584E+00  1.824850547E-01  1.096787174E+02 
        65  2.361243387E-04 -7.793963887E-03  3.966637859E-01  8.259282940E-03  4.964064378E+00 -4.904283835E+00  7.680724071E-01  7.932027109E-01  4.767374299E+02 
        66  6.678200443E-04 -9.574963711E-03  4.566084064E-01  1.093939387E-02  6.574887412E+00 -6.243383121E+00  2.061385865E+00  5.824077044E-01  3.500436248E+02 
        67  1.398407854E-03 -1.131464448E-02  4.857750798E-01  1.236983668E-02  7.434624299E+00 -6.617913685E+00  3.387751013E+00  3.402428586E-01  2.044956525E+02 
