"rf_coeffs"
"Iteration" "cd etc.."
("Iteration" "cd" "cl")
1 10.99570485634063 25.03404824382067
2 3.618364995844679 8.714420011553941
3 0.2357165214993237 0.4026548541570472
4 -0.2470584175358805 -0.7827118541989466
5 -0.02790507238913363 -0.5272108958476553
6 -0.1505706753068303 -0.2207793124980498
7 0.07964835606234709 0.1594432619974032
8 0.02598114271658588 0.3606805654317758
9 0.1471805299650197 0.4609005429134876
10 0.1657746302580979 0.7040870133962098
11 0.1124302172255373 0.444760438615259
12 0.262242177308487 0.8664952218359173
13 -0.02546079626493532 0.1907553195879743
14 0.3804738324067208 1.095246513289575
15 -0.1091515229085506 0.09233640217545129
16 0.3340802237938886 0.9334806151543608
17 -0.2246244495555832 -0.2240425040638789
18 0.2388112193330255 0.6237661000309387
19 -0.340602522846366 -0.6529309773930562
20 -0.1356847934467095 -0.43860977892171
21 -0.3803304830890203 -0.9880502604784221
22 -1.008762986641782 -2.573890766848085
23 -0.5808008462430923 -1.447756937299765
24 -0.9457805782581667 -2.098715025134839
25 2.005014592989227 5.538885343407013
26 0.2181955556735876 1.658673058486067
27 3.042627259761794 10.40243645177907
28 0.9986968608702458 4.065543928220803
29 3.098821340148717 9.386134898044391
30 -6.455121420437343 -18.18231155696265
31 1.833820149666211 -0.3381032982840386
32 -6.534869933087699 -18.04600538595053
33 -2.577836787316949 -8.945319312919775
34 -7.784048828332618 -19.45277696720572
35 -0.2260420755633069 -1.72386182596781
36 -4.337482569586145 -15.2852573454502
37 -5.933063959458336 -21.21200245897302
38 -10.5879392027488 -36.17262550473934
39 -3.94938327737151 -11.43232396320763
40 -0.500731828595072 6.008392609079185
41 -3.595236364287521 1.776576196195419
42 -4.665460505736961 -1.081149695090659
43 9.188655565047068 48.92236411867047
44 -8.092156308469365 -12.65851675982393
45 -7.688995852537921 -1.269067212313142
46 -5.889197095781998 -2.721432722118519
47 13.8031761472146 62.53430691703757
48 31.88704998678262 94.28257307505771
49 28.14757627684714 74.48860186847186
50 -5.354836785855104 -48.67571095974274
51 -33.61952928770338 -110.6885131157238
52 -14.18323254897357 -84.06246651632546
53 8.283645140081461 7.992734631740701
54 -25.13328677403727 -117.3208717138661
55 36.33593232995492 145.5415349742429
56 37.9484657752724 235.9457467787466
57 -280.9783875405386 -616.2445024189979
58 -104.4488138733251 -270.6074190373118
59 -362.2530369456895 -1071.162454575781
60 -108.8914849303394 -753.9463599099645
61 -0.8214137934850412 -436.4394829445831
62 -60.12006061437039 -680.6204273888006
63 9.574559866142211 532.4671806446559
64 787.0954649353505 2653.845123923772
65 -37.58534447521744 371.5032669417685
66 445.1507643018821 2800.021969124629
67 252.6505355413096 2502.334635044782
68 754.2747543174737 5346.094395402683
69 -4.99215338608419 3811.669345185348
70 -97.32339037746171 858.2634837809533
71 411.2297398122804 48.44046199259599
72 276.6204047446197 -1719.916487990176
73 207.0150658203193 2157.900621627503
74 572.7151539568501 1439.12563804853
75 1990.683454126483 6236.608822248074
76 -1739.693608190314 -2496.965961526525
77 -2879.692328166052 -7869.976397854641
78 4040.883863116811 13198.03899264707
79 -1629.599773393642 -6058.610653932975
80 3034.297902729908 6001.064047048309
81 -1854.664493069884 -5460.322252530839
82 3051.204366416931 4723.746184446902
83 3878.351269245453 14738.69504549681
84 -12519.27212211512 -31821.80931348024
85 -5171.704913627981 -9713.949675265174
86 7490.207939842654 43532.73296979041
87 4902.234579556854 26004.89791554641
88 3817.394106509227 26193.07511156511
89 -5719.386564550978 -21094.71607618482
90 1325.266702520433 -548.5222464586883
91 -7981.680563177865 -20750.60997811035
92 1825.553030223324 33855.17815497959
93 13017.07659556763 89021.72576495535
94 -40311.85585753082 -86998.67736377104
95 9456.761256051635 11432.85761291712
96 -11052.60984776481 -56342.99882459015
97 3459.813699496405 -11556.06108463595
98 -109.6308591719155 -71090.5842253567
99 -4211.911897996252 -30388.42471564574
100 2612.21557573544 -7771.500923893373
101 -1662.736251866623 -8942.600550905772
102 113.946199042646 -3144.320459982237
103 -3543.48914169075 -5148.506107706317
104 -1398.233409468839 883.949364620014
105 2732.043122963738 28642.36788980076
106 -1897.919452922545 44194.54708818626
107 -3181.778167455699 16369.58037054581
108 -7524.260209029789 12447.77453104184
109 874.7866623570196 52193.85710259281
110 -173.1183608035557 22130.48376622299
111 -4622.239450536818 5682.788084410338
112 1440.795372512532 -26300.09799818037
113 -4823.246066917775 -60107.97971233343
114 -2558.688192126516 -50379.89191087735
115 6049.859388225914 12500.34831036376
116 -22457.26644137589 -48277.24007821402
117 19444.25814564791 28673.74676094785
118 -14373.7890769337 -41043.76486803844
119 10265.82651714299 55109.33572179585
120 -5565.480036626928 35478.44534339001
121 15698.6837051628 97593.23666363362
122 -12519.53007491445 8023.013471754672
123 878.329071264673 15047.21672289951
124 -19731.94326568095 -55455.17027811278
125 5891.940641618263 36641.17889571896
126 -5415.165819797719 42411.86327490643
127 5161.43573510124 48458.35496202444
128 -13930.82202193368 -27565.78182124604
129 -9230.555733985719 -47946.54081422979
130 -38926.92485161329 -137958.8644944314
131 32112.22057079496 90005.50415941513
132 14553.13555701801 71485.25940808788
133 52010.07658344115 258788.7744852746
134 7195.959760683166 152682.4022903269
135 60726.1743844347 216703.6994162394
136 -42001.16806400441 -115230.1359047599
137 10539.4547963872 202624.6315291676
138 46317.65945188613 413298.839272733
139 63565.59773338557 522027.7256304091
140 -46337.98339191625 88417.0843789011
141 -20208.93627952103 63617.70894255686
142 -204696.1561186299 -559171.060404988
143 -206333.8871948924 -616616.597329095
