cellnumber     x-coordinate     y-coordinate           y-plus skin-friction-coef       wall-shear     y-wall-shear     x-wall-shear pressure-coefficient         pressure 
        37  8.569997549E-01 -1.988131553E-01  2.514780002E-01  2.768313391E-03  1.960528194E+01 -5.737807724E+00  1.874685687E+01  2.334303379E-01  1.653160948E+03 
        38  8.642964959E-01 -2.010486126E-01  2.520091283E-01  2.779959651E-03  1.968776112E+01 -5.772347619E+00  1.882253811E+01  2.294735861E-01  1.625139108E+03 
        39  8.713641167E-01 -2.032180429E-01  2.524998268E-01  2.790819393E-03  1.976467015E+01 -5.804796158E+00  1.889302855E+01  2.257803981E-01  1.598983835E+03 
        40  8.781982064E-01 -2.053196132E-01  2.528914606E-01  2.799451948E-03  1.982580618E+01 -5.832140888E+00  1.894858104E+01  2.223754038E-01  1.574869559E+03 
        41  8.847944736E-01 -2.073515207E-01  2.532372587E-01  2.807037467E-03  1.987952706E+01 -5.856822756E+00  1.899718988E+01  2.193019656E-01  1.553103374E+03 
        42  8.911487460E-01 -2.093120366E-01  2.534924127E-01  2.812844941E-03  1.992065578E+01 -5.877307965E+00  1.903391125E+01  2.165864883E-01  1.533872279E+03 
        43  8.972569704E-01 -2.111994922E-01  2.536538021E-01  2.816478680E-03  1.994639003E+01 -5.892758482E+00  1.905607181E+01  2.142822199E-01  1.517553377E+03 
        44  9.031153321E-01 -2.130122930E-01  2.536445745E-01  2.816184385E-03  1.994430582E+01 -5.899491711E+00  1.905180653E+01  2.124421148E-01  1.504521696E+03 
        45  9.087199569E-01 -2.147488743E-01  2.534764632E-01  2.812448641E-03  1.991784916E+01 -5.898509869E+00  1.902441317E+01  2.111303479E-01  1.495231722E+03 
        46  9.140673280E-01 -2.164077908E-01  2.531799005E-01  2.805909901E-03  1.987154160E+01 -5.891144456E+00  1.897821337E+01  2.103956358E-01  1.490028468E+03 
        47  9.191540480E-01 -2.179876119E-01  2.526560399E-01  2.794390911E-03  1.978996375E+01 -5.872819738E+00  1.889848284E+01  2.103151839E-01  1.489458705E+03 
        48  9.239767194E-01 -2.194870412E-01  2.518790078E-01  2.777076872E-03  1.966734519E+01 -5.841810302E+00  1.877971563E+01  2.109818148E-01  1.494179806E+03 
        49  9.285323620E-01 -2.209047973E-01  2.508123516E-01  2.753454412E-03  1.950005019E+01 -5.797027881E+00  1.861844314E+01  2.124875916E-01  1.504843764E+03 
        50  9.328178763E-01 -2.222397029E-01  2.494011610E-01  2.722675910E-03  1.928207588E+01 -5.736678772E+00  1.840893714E+01  2.149361372E-01  1.522184440E+03 
        51  9.368306398E-01 -2.234906256E-01  2.475826644E-01  2.683182774E-03  1.900238425E+01 -5.657471529E+00  1.814066215E+01  2.184370127E-01  1.546977750E+03 
        52  9.405678511E-01 -2.246565521E-01  2.452765391E-01  2.633446288E-03  1.865014891E+01 -5.556174367E+00  1.780328567E+01  2.231220289E-01  1.580157181E+03 
        53  9.440271854E-01 -2.257364988E-01  2.423346500E-01  2.570668424E-03  1.820555411E+01 -5.426874423E+00  1.737789500E+01  2.291303463E-01  1.622708273E+03 
        54  9.472063780E-01 -2.267295718E-01  2.386647539E-01  2.493250612E-03  1.765727875E+01 -5.266185456E+00  1.685368754E+01  2.366383602E-01  1.675880262E+03 
        55  9.501032829E-01 -2.276349664E-01  2.340143948E-01  2.397048747E-03  1.697597414E+01 -5.065344807E+00  1.620265348E+01  2.457968056E-01  1.740740658E+03 
        56  9.527159333E-01 -2.284519374E-01  2.281557319E-01  2.278610444E-03  1.613719037E+01 -4.817043115E+00  1.540146125E+01  2.568598486E-01  1.819089475E+03 
        57  9.550427198E-01 -2.291797996E-01  2.206351177E-01  2.130837874E-03  1.509066041E+01 -4.506265454E+00  1.440213885E+01  2.698723373E-01  1.911244326E+03 
        58  9.570820928E-01 -2.298180014E-01  2.111854499E-01  1.952221380E-03  1.382569282E+01 -4.129805458E+00  1.319448706E+01  2.853065671E-01  2.020550024E+03 
        59  9.588326216E-01 -2.303659767E-01  1.987227023E-01  1.728631490E-03  1.224222223E+01 -3.657770315E+00  1.168300995E+01  3.024103900E-01  2.141679832E+03 
        60  9.602931738E-01 -2.308232933E-01  1.843800957E-01  1.488138767E-03  1.053904525E+01 -3.149566956E+00  1.005742029E+01  3.220196979E-01  2.280553564E+03 
        61  9.614627361E-01 -2.311895937E-01  1.682781849E-01  1.239547904E-03  8.778516995E+00 -2.623884647E+00  8.377206574E+00  3.397809788E-01  2.406339510E+03 
        62  9.623406529E-01 -2.314645946E-01  1.559747092E-01  1.064962318E-03  7.542096418E+00 -2.254606405E+00  7.197219487E+00  3.548902644E-01  2.513343943E+03 
        63  9.629262686E-01 -2.316480428E-01  2.143861263E-01  2.011933507E-03  1.424857597E+01 -4.259774434E+00  1.359692020E+01  3.672924370E-01  2.601176517E+03 
        64  9.632191658E-01 -2.317398041E-01  2.698526572E-01  3.187696772E-03  2.257536815E+01  6.749446291E+00 -2.154279977E+01  3.429474797E-01  2.428764768E+03 
        65  1.218538266E-02  7.616538554E-02  9.358500430E-01  3.851787379E-02  2.727847858E+02  2.724920222E+02  1.263476266E+01 -6.164015361E+00 -4.365374941E+04 
        66  1.223775931E-02  7.398127764E-02  8.838448459E-01  3.434986436E-02  2.432668128E+02  2.422009375E+02 -2.274748578E+01 -5.012461546E+00 -3.549840930E+04 
        67  1.259624306E-02  7.178466022E-02  8.128124166E-01  2.903662035E-02  2.056382527E+02  2.003140825E+02 -4.649042167E+01 -3.867315237E+00 -2.738844736E+04 
        68  1.325954311E-02  6.957592070E-02  7.347182649E-01  2.370946724E-02  1.679111879E+02  1.575715242E+02 -5.801191080E+01 -2.781130748E+00 -1.969605487E+04 
        69  1.422618050E-02  6.735549122E-02  6.522154202E-01  1.867095503E-02  1.322282870E+02  1.181660023E+02 -5.933899032E+01 -1.836445282E+00 -1.300576287E+04 
        70  1.549448539E-02  6.512376666E-02  5.711544861E-01  1.430961198E-02  1.013411192E+02  8.558456917E+01 -5.427065469E+01 -1.074678156E+00 -7.610904286E+03 
        71  1.706260629E-02  6.288111955E-02  4.956892293E-01  1.077263004E-02  7.629210259E+01  6.062303601E+01 -4.631773335E+01 -4.837313330E-01 -3.425800417E+03 
        72  1.892850362E-02  6.062793732E-02  4.267360676E-01  7.980860885E-03  5.652070619E+01  4.218078314E+01 -3.762142689E+01 -3.467858681E-02 -2.455948355E+02 
        73  2.108996361E-02  5.836456642E-02  3.647967449E-01  5.830484423E-03  4.129167289E+01  2.893946489E+01 -2.945351629E+01  2.965602377E-01  2.100248871E+03 
        74  2.354459651E-02  5.609135330E-02  3.098236441E-01  4.204705485E-03  2.977785564E+01  1.962118384E+01 -2.239932658E+01  5.359079578E-01  3.795316904E+03 
        75  2.628983557E-02  5.380862206E-02  2.610755976E-01  2.985148800E-03  2.114091709E+01  1.312080973E+01 -1.657657164E+01  7.057145785E-01  4.997892699E+03 
        76  2.932295017E-02  5.151665583E-02  2.174943101E-01  2.071444048E-03  1.467003148E+01  8.595248201E+00 -1.188829390E+01  8.235999485E-01  5.832760573E+03 
        77  3.264104575E-02  4.921574146E-02  1.779431134E-01  1.386453977E-03  9.818910395E+00  5.444539420E+00 -8.171168328E+00  9.031467332E-01  6.396113388E+03 
        78  3.624106944E-02  4.690610990E-02  1.410346261E-01  8.709140228E-04  6.167840326E+00  3.245020321E+00 -5.245197556E+00  9.545204128E-01  6.759943392E+03 
        79  4.011980444E-02  4.458797351E-02  1.047973113E-01  4.808471211E-04  3.405374338E+00  1.704319632E+00 -2.948197581E+00  9.852879117E-01  6.977839781E+03 
