"rf_coeffs"
"Iteration" "cd etc.."
("Iteration" "cd" "cl")
1 5.604308395648187 1.951616645065565
2 0.738973383264431 1.002349606403608
3 0.5908601368940658 0.108181705770088
4 -0.04692107693954772 0.02496495940826542
5 0.2148307736850196 -0.1048685791645534
6 -0.05728678141920344 0.02541265932235109
7 0.1213682858876124 0.02674569580629817
8 -0.0008293733998710244 0.09821427574362881
9 0.09120609172973063 0.06592988634205316
10 0.03726713854188151 0.129434515185717
11 0.07593010515004332 0.07699594041428318
12 0.04864848850887882 0.1207266836658103
13 0.06003231314896895 0.0740150877112583
14 0.0502528610272342 0.1241262807822315
15 0.04737140646016828 0.09099231704755611
16 0.04638554134083616 0.1182706371818842
17 0.04119144824979042 0.1049241841719793
18 0.042290045099871 0.1183087881130948
19 0.03806748257132592 0.1187144868346414
20 0.03923909302122295 0.1227668783931078
21 0.0360067004989021 0.1198874009477949
22 0.03597716570361188 0.1180232099954345
23 0.0354340699924619 0.1300888325296615
24 0.03427080867605519 0.11931745969903
25 0.03419527716275781 0.1302557029498433
26 0.03243612876097636 0.1215802287139509
27 0.03300164084237072 0.1294116943833535
28 0.03150983590710608 0.1312901490331548
29 0.03145149311173655 0.1311579180296379
30 0.03073214130568908 0.1340475111762136
31 0.03015664664221423 0.1328631628399981
32 0.02994708302296231 0.1363938731373804
33 0.0291298018541765 0.1355242273083886
34 0.02900901346884072 0.1374624376910286
35 0.02838301345323715 0.1381171342408084
36 0.02805680463975922 0.1382803287518615
37 0.02767548022162094 0.1400971323193514
38 0.02722622901411474 0.1401667659630572
39 0.0269807157272347 0.1422095907974689
40 0.02650403874866945 0.1419895971742815
41 0.02626630227820382 0.143732525970143
42 0.02585905964961965 0.1442290516679862
43 0.02555361264093844 0.1451706560886192
44 0.02526252552768361 0.1462847655466686
45 0.02493205879540817 0.14678136821658
46 0.02471835005440411 0.1481811050220698
47 0.02438079681560852 0.1485255158414856
48 0.02421366453626671 0.1497517773260606
49 0.02392894889168293 0.1502806865819855
50 0.02375194000448435 0.1512927374231286
51 0.02354414455298746 0.1520542790293657
