cellnumber     x-coordinate     y-coordinate           y-plus skin-friction-coef       wall-shear     y-wall-shear     x-wall-shear pressure-coefficient         pressure 
         1  5.033683181E-01 -6.895995140E-02  2.729540463E-01  3.515652027E-03  8.563269787E+00  4.734511083E-01  8.550171548E+00 -2.432698442E-01 -5.925459321E+02 
         2  5.156744123E-01 -6.825524569E-02  2.711887040E-01  3.470321659E-03  8.452856081E+00  4.991807470E-01  8.438103727E+00 -2.356186988E-01 -5.739096103E+02 
         3  5.279711485E-01 -6.750535220E-02  2.694367854E-01  3.425634022E-03  8.344007909E+00  5.230531234E-01  8.327597698E+00 -2.279333448E-01 -5.551899648E+02 
         4  5.402510166E-01 -6.671243161E-02  2.677038575E-01  3.381697646E-03  8.236989629E+00  5.452011486E-01  8.218926563E+00 -2.202086978E-01 -5.363746110E+02 
         5  5.525066257E-01 -6.587861478E-02  2.659915830E-01  3.338574660E-03  8.131952565E+00  5.657484600E-01  8.112248837E+00 -2.124831086E-01 -5.175569624E+02 
         6  5.647304654E-01 -6.500604004E-02  2.642959434E-01  3.296159024E-03  8.028638434E+00  5.847857530E-01  8.007312953E+00 -2.047596246E-01 -4.987444414E+02 
         7  5.769152045E-01 -6.409680843E-02  2.626136203E-01  3.254326761E-03  7.926745256E+00  6.023919789E-01  7.903822763E+00 -1.970271293E-01 -4.799099714E+02 
         8  5.890532732E-01 -6.315302849E-02  2.609417407E-01  3.213013385E-03  7.826115962E+00  6.186490095E-01  7.801625757E+00 -1.892932482E-01 -4.610721258E+02 
         9  6.011375189E-01 -6.217678264E-02  2.592798538E-01  3.172218755E-03  7.726750207E+00  6.336451025E-01  7.700724813E+00 -1.815348713E-01 -4.421746141E+02 
        10  6.131604314E-01 -6.117012724E-02  2.576342794E-01  3.132086772E-03  7.628998497E+00  6.474938330E-01  7.601471555E+00 -1.737864000E-01 -4.233012304E+02 
        11  6.251148582E-01 -6.013509631E-02  2.559988983E-01  3.092449637E-03  7.532452114E+00  6.602417219E-01  7.503460249E+00 -1.660548501E-01 -4.044690629E+02 
        12  6.369934082E-01 -5.907370895E-02  2.543705825E-01  3.053230172E-03  7.436923075E+00  6.719463412E-01  7.406504772E+00 -1.583218829E-01 -3.856334434E+02 
        13  6.487889290E-01 -5.798795447E-02  2.527450006E-01  3.014334786E-03  7.342183413E+00  6.826553645E-01  7.310378850E+00 -1.505854132E-01 -3.667892923E+02 
