cellnumber     x-coordinate     y-coordinate           y-plus skin-friction-coef       wall-shear     y-wall-shear     x-wall-shear pressure-coefficient         pressure 
        36  8.798177838E-01  5.416792631E-02  1.963118508E-01  1.724472734E-03  8.972647196E+00  1.750638782E+00  8.800208041E+00 -2.917008730E-03 -1.517756105E+01 
        37  8.875162601E-01  5.570405349E-02  1.936846933E-01  1.678610901E-03  8.734022343E+00  1.714193390E+00  8.564151289E+00  6.900300774E-03  3.590312746E+01 
        38  8.949816227E-01  5.720272660E-02  1.909717861E-01  1.631933077E-03  8.491151793E+00  1.676157247E+00  8.324070858E+00  1.674744909E-02  8.713907103E+01 
        39  9.022092819E-01  5.866230279E-02  1.881884000E-01  1.584714681E-03  8.245468576E+00  1.636808682E+00  8.081374226E+00  2.661824744E-02  1.384980687E+02 
        40  9.091950655E-01  6.008116156E-02  1.853088025E-01  1.536582636E-03  7.995031530E+00  1.595759480E+00  7.834161145E+00  3.650383693E-02  1.899340265E+02 
        41  9.159348011E-01  6.145770848E-02  1.823400380E-01  1.487740650E-03  7.740900568E+00  1.553216482E+00  7.583472830E+00  4.639267826E-02  2.413869041E+02 
        42  9.224244356E-01  6.279037148E-02  1.792754281E-01  1.438159271E-03  7.482922459E+00  1.509147608E+00  7.329161073E+00  5.626995701E-02  2.927796201E+02 
        43  9.286601543E-01  6.407760829E-02  1.761141678E-01  1.387897902E-03  7.221406269E+00  1.463615379E+00  7.071530140E+00  6.611829627E-02  3.440217603E+02 
        44  9.346382022E-01  6.531792134E-02  1.728694155E-01  1.337229855E-03  6.957774090E+00  1.416911995E+00  6.811973333E+00  7.591807917E-02  3.950112557E+02 
        45  9.403550625E-01  6.650982797E-02  1.695245535E-01  1.285994308E-03  6.691189135E+00  1.368874771E+00  6.549671282E+00  8.564758391E-02  4.456350850E+02 
        46  9.458073974E-01  6.765190512E-02  1.660807144E-01  1.234280312E-03  6.422114751E+00  1.319607033E+00  6.285077179E+00  9.528266552E-02  4.957676190E+02 
        47  9.509918690E-01  6.874275953E-02  1.625473878E-01  1.182318479E-03  6.151750838E+00  1.269367753E+00  6.019364076E+00  1.047968872E-01  5.452713036E+02 
        48  9.559054971E-01  6.978105009E-02  1.589313809E-01  1.130302044E-03  5.881102824E+00  1.218381984E+00  5.753513341E+00  1.141616809E-01  5.939974961E+02 
        49  9.605452418E-01  7.076548040E-02  1.552446096E-01  1.078476484E-03  5.611447953E+00  1.166936210E+00  5.488771084E+00  1.233457607E-01  6.417834112E+02 
        50  9.649084806E-01  7.169481367E-02  1.514670809E-01  1.026626301E-03  5.341664973E+00  1.114822342E+00  5.224036354E+00  1.323171448E-01  6.884626440E+02 
        51  9.689925909E-01  7.256785780E-02  1.476142013E-01  9.750670112E-04  5.073395542E+00  1.062408975E+00  4.960910148E+00  1.410409326E-01  7.338536025E+02 
        52  9.727951884E-01  7.338349521E-02  1.436920167E-01  9.239484302E-04  4.807419176E+00  1.009890078E+00  4.700149058E+00  1.494859324E-01  7.777939918E+02 
        53  9.763139486E-01  7.414066792E-02  1.397035360E-01  8.733647726E-04  4.544226082E+00  9.574017245E-01  4.442226089E+00  1.576073437E-01  8.200507103E+02 
        54  9.795468450E-01  7.483837008E-02  1.356877057E-01  8.238776056E-04  4.286738166E+00  9.055961985E-01  4.189990410E+00  1.653787223E-01  8.604861642E+02 
        55  9.824919105E-01  7.547569275E-02  1.316419598E-01  7.754776204E-04  4.034906994E+00  8.545036128E-01  3.943386619E+00  1.727232387E-01  8.987006016E+02 
        56  9.851475358E-01  7.605177164E-02  1.276879335E-01  7.295879036E-04  3.796137061E+00  8.057358929E-01  3.709642335E+00  1.796360578E-01  9.346688630E+02 
        57  9.875119925E-01  7.656583935E-02  1.238106239E-01  6.859519177E-04  3.569093572E+00  7.590587387E-01  3.487443011E+00  1.859277667E-01  9.674054113E+02 
        58  9.895839691E-01  7.701719552E-02  1.205492920E-01  6.502906747E-04  3.383543667E+00  7.208596009E-01  3.305862849E+00  1.916955872E-01  9.974161019E+02 
        59  9.913622141E-01  7.740523666E-02  1.177380745E-01  6.203163815E-04  3.227583673E+00  6.886703741E-01  3.153256964E+00  1.963706243E-01  1.021740904E+03 
        60  9.928457141E-01  7.772941887E-02  1.177762013E-01  6.207175907E-04  3.229671214E+00  6.899851065E-01  3.155106449E+00  2.004316203E-01  1.042870774E+03 
        61  9.940335751E-01  7.798931003E-02  1.201006461E-01  6.454576436E-04  3.358396802E+00  7.182117229E-01  3.280701297E+00  2.021117397E-01  1.051612646E+03 
        62  9.949250221E-01  7.818453759E-02  1.352233040E-01  8.182374764E-04  4.257391870E+00  9.111588581E-01  4.158746814E+00  2.029987421E-01  1.056227830E+03 
        63  9.955196381E-01  7.831484079E-02  1.566348075E-01  1.097864007E-03  5.712323662E+00  1.223160836E+00  5.579831465E+00  1.982531005E-01  1.031535664E+03 
        64  9.958170652E-01  7.838004082E-02  2.282409406E-01  2.331031051E-03  1.212864594E+01  2.597725111E+00  1.184718855E+01  1.966118911E-01  1.022996246E+03 
        65  1.993580023E-03 -2.702634595E-02  7.628290714E-01  2.618156400E-02  1.362259502E+02 -1.117124364E+02  7.796050957E+01 -3.721597208E+00 -1.936393547E+04 
        66  3.374988679E-03 -2.872294933E-02  7.652376738E-01  2.633320746E-02  1.370149701E+02 -9.963915571E+01  9.404860803E+01 -4.130733953E+00 -2.149272510E+04 
        67  5.019550212E-03 -3.023860790E-02  7.484094932E-01  2.516671020E-02  1.309455390E+02 -8.204761699E+01  1.020535288E+02 -4.291081811E+00 -2.232703505E+04 
